PLAYERID,NAME,CLUB,GRADE,ERA,G,W,L,SV,HLD,IP,H,HR,BB,HBP,SO
21,고효준,KIA,C,6.07,24,0,2,0,2,46,54,6,29,2,52
201,박준표,KIA,C,6.27,46,4,0,0,5,51.667,60,4,22,8,33
257,심동섭,KIA,C,6.45,54,5,2,1,13,37.667,45,5,21,4,33
501,한기주,KIA,C,7.62,29,4,3,1,1,56.667,81,11,30,5,27
421,정용운,KIA,C,7.89,12,0,1,0,0,21.667,31,1,20,0,12
22,곽정철,KIA,C,7.9,27,0,1,2,1,27.333,34,3,22,2,16
217,배힘찬,KIA,C,7.94,3,0,0,1,0,5.667,7,1,3,0,2
405,전상현,KIA,C,8.1,8,0,2,0,1,13.333,19,3,8,0,11
358,이준영,KIA,C,8.66,13,0,2,0,1,17.667,22,4,11,0,7
300,유창식,KIA,C,20.25,1,0,0,0,0,1.333,2,1,6,0,0
151,마리몬,kt,C,5.23,12,6,4,0,0,62,60,3,29,6,45
222,밴와트,kt,C,5.95,28,6,13,0,0,134.667,172,21,49,4,92
144,로위,kt,C,6.3,14,3,6,0,0,60,74,6,39,5,68
410,정대현,kt,C,7.29,22,4,10,0,0,91.333,115,13,44,5,57
516,홍성무,kt,C,4,8,0,0,0,0,9,11,2,1,0,12
182,박세진,kt,C,5.14,7,0,2,0,0,21,24,5,13,0,8
62,김사율,kt,C,5.34,25,0,1,1,1,30.333,29,4,17,2,27
260,심재민,kt,C,5.47,59,2,3,0,7,54.333,75,4,24,5,30
18,고영표,kt,C,5.59,53,2,4,0,5,56.333,65,6,19,10,62
416,정성곤,kt,C,5.83,28,0,7,0,0,66.333,72,4,33,6,46
264,안상빈,kt,C,6,11,0,0,0,0,12,11,2,9,2,12
518,홍성용,kt,C,6.02,67,2,2,2,12,46.333,66,8,19,4,33
394,장시환,kt,C,6.33,40,3,12,6,3,75.333,93,7,43,9,67
53,김민수,kt,C,6.75,7,0,0,1,0,8,14,1,3,0,6
275,엄상백,kt,C,6.75,52,1,5,1,8,73.333,93,8,40,4,57
304,윤근영,kt,C,6.75,3,0,0,0,0,4,6,0,5,1,1
495,피노,kt,C,7.15,12,2,3,0,1,39,62,4,15,4,23
331,이상화,kt,C,7.99,16,0,0,0,0,32.667,55,7,10,0,24
439,조무근,kt,C,8.61,38,2,0,0,4,38.667,59,5,27,3,31
475,최원재,kt,C,8.68,10,0,0,0,0,9.333,12,1,4,0,11
148,류희운,kt,C,10.8,5,0,0,0,0,8.333,13,1,3,0,3
462,채선관,kt,C,27,1,0,0,0,0,0.333,2,0,2,0,0
511,허프,LG,C,3.13,13,7,2,0,1,74.667,72,2,9,1,46
492,코프랜드,LG,C,5.54,13,2,3,0,0,63.333,71,8,42,7,34
342,이영재,LG,C,0,1,0,0,0,0,0,2,1,2,0,0
407,전인환,LG,C,0,5,0,0,0,0,6.333,4,0,3,1,5
432,정찬헌,LG,C,3.38,6,0,0,0,0,8,7,0,3,1,4
467,최동환,LG,C,4.41,26,2,0,1,0,34.667,30,2,15,4,22
45,김대현,LG,C,5.4,1,0,0,0,0,1.667,3,0,0,1,0
322,이동현,LG,C,5.4,46,4,3,2,5,43.333,54,5,14,3,38
338,이승현,LG,C,5.49,38,3,1,0,3,41,46,5,23,4,29
359,이준형,LG,C,6.18,25,2,6,0,0,71.333,84,4,45,4,35
211,배민관,LG,C,6.35,2,0,0,0,0,5.667,5,3,1,0,1
296,유원상,LG,C,6.38,19,2,1,0,1,24,31,3,13,2,15
386,임찬규,LG,C,6.51,15,3,3,0,1,47,46,6,32,6,38
314,윤지웅,LG,C,6.55,59,4,2,0,11,44,48,4,18,4,37
293,유경국,LG,C,6.75,2,0,0,0,0,5.333,7,1,4,0,0
471,최성훈,LG,C,7.15,28,2,1,0,4,22.667,35,1,11,0,8
434,정현욱,LG,C,7.29,17,1,0,1,3,21,22,4,10,4,18
298,유재유,LG,C,13.5,7,0,1,0,0,6.667,10,2,7,0,3
400,장진용,LG,C,20.25,2,0,0,0,0,5.333,9,3,6,0,2
