PLAYERID,NAME,CLUB,GRADE,POS,G,IP,E,FPCT,CS
254,신재웅,SK,C,1,35,18,1,0.75,0
254,신재웅,SK,C,D,0,0,0,0,0
255,신종길,KIA,A,9,55,370,0,1,0
255,신종길,KIA,C,7,1,0.333,0,0,0
255,신종길,KIA,C,8,2,3,0,0,0
255,신종길,KIA,A,D,0,0,0,0,0
256,신현철,kt,C,4,16,33,0,1,0
256,신현철,kt,C,5,17,44.667,0,1,0
256,신현철,kt,C,D,0,0,0,0,0
257,심동섭,KIA,C,1,54,38,0,1,0
257,심동섭,KIA,C,D,0,0,0,0,0
258,심수창,한화,C,1,66,113.333,4,0.826,0
258,심수창,한화,C,D,0,0,0,0,0
259,심우준,kt,A,5,19,104,1,0.977,0
259,심우준,kt,C,6,92,510,12,0.957,0
259,심우준,kt,A,D,0,0,0,0,0
260,심재민,kt,B,1,59,54.333,1,0.875,0
260,심재민,kt,B,D,0,0,0,0,0
261,심창민,삼성,C,1,62,72.667,0,1,0
261,심창민,삼성,C,D,0,0,0,0,0
262,아두치,롯데,C,3,3,11,0,1,0
262,아두치,롯데,C,7,6,33,0,1,0
262,아두치,롯데,A,8,57,446.667,2,0.983,0
262,아두치,롯데,C,D,0,0,0,0,0
263,안규영,두산,C,1,16,47.667,0,1,0
263,안규영,두산,C,D,0,0,0,0,0
264,안상빈,kt,C,1,11,12,0,0,0
264,안상빈,kt,C,D,0,0,0,0,0
265,안영명,한화,C,1,2,2.667,1,0,0
265,안영명,한화,C,D,0,0,0,0,0
266,안익훈,LG,A,8,66,175,2,0.959,0
266,안익훈,LG,A,D,0,0,0,0,0
267,안중열,롯데,A,2,18,81,1,0.986,25
267,안중열,롯데,A,D,0,0,0,0,0
268,안지만,삼성,C,1,31,37.333,1,0.667,0
268,안지만,삼성,C,D,0,0,0,0,0
269,안치홍,KIA,B,4,10,82,0,1,0
269,안치홍,KIA,B,D,0,0,0,0,0
270,양석환,LG,A,3,59,340,4,0.989,0
270,양석환,LG,A,5,25,135.333,1,0.976,0
270,양석환,LG,A,D,0,0,0,0,0
271,양성우,한화,A,9,89,640,1,0.994,0
271,양성우,한화,A,7,40,255.333,1,0.986,0
271,양성우,한화,C,8,6,21,1,0.875,0
271,양성우,한화,A,D,0,0,0,0,0
272,양의지,두산,A,2,103,740,7,0.99,27
272,양의지,두산,A,D,0,0,0,0,0
273,양현종,KIA,B,1,31,200.333,3,0.925,0
273,양현종,KIA,B,D,0,0,0,0,0
274,양훈,넥센,C,1,20,70.667,0,1,0
274,양훈,넥센,C,D,0,0,0,0,0
275,엄상백,kt,C,1,52,73.333,3,0.824,0
275,엄상백,kt,C,D,0,0,0,0,0
276,에반스,두산,A,3,47,367,2,0.995,0
276,에반스,두산,A,D,0,0,0,0,0
277,오선진,한화,C,4,15,66,0,1,0
277,오선진,한화,C,5,31,73,0,1,0
277,오선진,한화,C,6,7,11.667,0,1,0
277,오선진,한화,C,D,0,0,0,0,0
278,오승택,롯데,C,3,4,33,0,1,0
278,오승택,롯데,C,4,2,6,2,0.714,0
278,오승택,롯데,C,5,1,8,0,1,0
278,오승택,롯데,C,6,7,48,0,1,0
278,오승택,롯데,C,D,0,0,0,0,0
279,오재원,두산,C,3,3,11,0,1,0
279,오재원,두산,B,4,120,941.667,16,0.97,0
279,오재원,두산,C,5,1,3,0,0,0
279,오재원,두산,C,D,0,0,0,0,0
280,오재일,두산,A,3,102,853,7,0.992,0
280,오재일,두산,A,D,0,0,0,0,0
281,오정복,kt,C,4,1,0.667,0,0,0
281,오정복,kt,C,5,1,0.333,0,0,0
281,오정복,kt,C,9,8,29,0,1,0
281,오정복,kt,A,7,87,589,3,0.976,0
281,오정복,kt,C,D,0,0,0,0,0
282,오주원,넥센,C,1,55,51,0,1,0
282,오주원,넥센,C,D,0,0,0,0,0
283,오준혁,KIA,C,3,5,6,0,1,0
283,오준혁,KIA,B,9,19,110.333,0,1,0
283,오준혁,KIA,A,7,18,94,1,0.95,0
283,오준혁,KIA,C,8,6,34,0,1,0
283,오준혁,KIA,C,D,0,0,0,0,0
284,오지환,LG,B,6,119,990,17,0.97,0
284,오지환,LG,B,D,0,0,0,0,0
285,오현근,롯데,C,9,1,2,1,0.667,0
285,오현근,롯데,C,7,4,3,0,0,0
285,오현근,롯데,C,8,6,25,0,1,0
285,오현근,롯데,C,D,0,0,0,0,0
286,오현택,두산,C,1,20,20.667,0,1,0
286,오현택,두산,C,D,0,0,0,0,0
287,용덕한,NC,A,2,87,310.667,1,0.997,38.1
287,용덕한,NC,A,D,0,0,0,0,0
288,우규민,LG,B,1,28,132,2,0.923,0
288,우규민,LG,B,D,0,0,0,0,0
289,우동균,삼성,B,9,16,115,2,0.941,0
289,우동균,삼성,C,7,5,21,0,1,0
289,우동균,삼성,B,D,0,0,0,0,0
290,원종현,NC,B,1,54,70.667,1,0.889,0
290,원종현,NC,B,D,0,0,0,0,0
291,웹스터,삼성,C,1,12,71,0,1,0
291,웹스터,삼성,C,D,0,0,0,0,0
292,유강남,LG,A,2,100,658,5,0.991,38.1
292,유강남,LG,A,D,0,0,0,0,0
293,유경국,LG,C,1,2,5.333,0,1,0
293,유경국,LG,C,D,0,0,0,0,0
294,유민상,kt,A,3,78,447,5,0.989,0
294,유민상,kt,A,D,0,0,0,0,0
295,유서준,SK,C,4,2,3.333,0,1,0
295,유서준,SK,C,5,1,1,0,0,0
295,유서준,SK,C,6,1,1.333,0,0,0
295,유서준,SK,C,D,0,0,0,0,0
296,유원상,LG,C,1,19,24,0,1,0
296,유원상,LG,C,D,0,0,0,0,0
297,유재신,넥센,C,3,7,10.667,0,1,0
297,유재신,넥센,C,4,4,10,1,0.857,0
297,유재신,넥센,C,5,5,6,0,1,0
297,유재신,넥센,C,9,18,28,0,1,0
297,유재신,넥센,C,7,7,13,0,1,0
297,유재신,넥센,A,8,47,159.333,1,0.978,0
297,유재신,넥센,C,D,0,0,0,0,0
298,유재유,LG,C,1,7,6.667,0,1,0
298,유재유,LG,C,D,0,0,0,0,0
299,유재훈,넥센,C,1,1,0.333,0,0,0
299,유재훈,넥센,C,D,0,0,0,0,0
300,유창식,KIA,C,1,1,1.333,0,0,0
300,유창식,KIA,C,D,0,0,0,0,0
301,유한준,kt,C,3,3,3,0,1,0
301,유한준,kt,A,9,89,686.667,1,0.994,0
301,유한준,kt,C,8,12,69,0,1,0
301,유한준,kt,C,D,0,0,0,0,0
302,유희관,두산,A,1,30,185.667,2,0.952,0
302,유희관,두산,A,D,0,0,0,0,0
303,윤규진,한화,A,1,41,100.333,1,0.952,0
303,윤규진,한화,A,D,0,0,0,0,0
304,윤근영,kt,C,1,3,4,0,1,0
304,윤근영,kt,C,D,0,0,0,0,0
305,윤길현,롯데,C,1,62,60,0,1,0
305,윤길현,롯데,C,D,0,0,0,0,0
306,윤명준,두산,C,1,55,57,0,1,0
306,윤명준,두산,C,D,0,0,0,0,0
307,윤병호,NC,C,9,1,1,0,0,0
307,윤병호,NC,C,7,3,8,0,1,0
307,윤석민,KIA,C,1,16,31,0,1,0
307,윤병호,NC,C,D,0,0,0,0,0
308,윤석민,넥센,B,3,37,303.333,5,0.984,0
308,윤석민,넥센,A,5,15,103,1,0.971,0
308,윤석민,넥센,B,D,0,0,0,0,0
310,윤성환,삼성,A,1,28,180,1,0.968,0
310,윤성환,삼성,A,D,0,0,0,0,0
311,윤완주,KIA,C,4,28,69.667,0,1,0
311,윤완주,KIA,C,5,3,7,0,1,0
311,윤완주,KIA,C,D,0,0,0,0,0
312,윤요섭,kt,B,2,33,174.333,3,0.981,8.7
312,윤요섭,kt,B,D,0,0,0,0,0
313,윤정우,KIA,C,9,14,64.333,0,1,0
313,윤정우,KIA,B,7,16,67,1,0.933,0
313,윤정우,KIA,C,8,2,3,0,1,0
313,윤정우,KIA,C,D,0,0,0,0,0
314,윤지웅,LG,C,1,59,44,1,0.917,0
314,윤지웅,LG,C,D,0,0,0,0,0
315,윤진호,LG,C,4,17,33.333,0,1,0
315,윤진호,LG,C,5,1,1,0,0,0
315,윤진호,LG,C,6,16,51,2,0.917,0
315,윤진호,LG,C,D,0,0,0,0,0
316,윤희상,SK,B,1,23,122.667,0,1,0
316,윤희상,SK,B,D,0,0,0,0,0
317,이건욱,SK,C,1,1,0.667,0,0,0
317,이건욱,SK,C,D,0,0,0,0,0
318,이경우,롯데,C,1,1,2,0,0,0
318,이경우,롯데,C,D,0,0,0,0,0
319,이대수,SK,C,3,1,3.333,0,1,0
319,이대수,SK,C,4,2,9,0,1,0
319,이대수,SK,C,5,3,4,0,1,0
319,이대수,SK,C,6,1,2,0,1,0
319,이대수,SK,C,D,0,0,0,0,0
320,이대형,kt,A,7,49,257.667,1,0.976,0
320,이대형,kt,A,8,117,896,1,0.995,0
320,이대형,kt,A,D,0,0,0,0,0
321,이동걸,한화,C,1,5,5,0,1,0
321,이동걸,한화,C,D,0,0,0,0,0
322,이동현,LG,C,1,46,43.333,0,1,0
322,이동현,LG,C,D,0,0,0,0,0
323,이동훈,한화,C,9,3,4,0,0,0
323,이동훈,한화,C,7,3,5.333,0,0,0
323,이동훈,한화,C,8,7,14,0,1,0
323,이동훈,한화,C,D,0,0,0,0,0
324,이명기,SK,C,9,1,2,0,0,0
324,이명기,SK,A,7,87,592.667,4,0.974,0
324,이명기,SK,C,D,0,0,0,0,0
325,이명우,롯데,C,1,45,33,0,1,0
325,이명우,롯데,C,D,0,0,0,0,0
326,이민호,NC,B,1,45,130.667,2,0.917,0
326,이민호,NC,B,D,0,0,0,0,0
327,이범호,KIA,A,5,130,1038.667,11,0.963,0
327,이범호,KIA,A,D,0,0,0,0,0
328,이병규,LG,C,3,1,4,0,1,0
328,이병규,LG,B,9,16,102.333,0,1,0
328,이병규,LG,A,7,75,517.333,3,0.977,0
328,이병규,LG,C,D,0,0,0,0,0
329,이보근,넥센,B,1,67,64.667,1,0.909,0
329,이보근,넥센,B,D,0,0,0,0,0
330,이상호,NC,C,3,1,4,0,1,0
330,이상호,NC,C,4,7,29,1,0.917,0
330,이상호,NC,C,5,1,3,0,0,0
330,이상호,NC,C,6,8,24,0,1,0
330,이상호,NC,C,D,0,0,0,0,0
331,이상화,kt,C,1,16,32.667,1,0.8,0
331,이상화,kt,C,D,0,0,0,0,0
332,이상훈,삼성,C,9,4,12.333,0,1,0
332,이상훈,삼성,C,7,1,1,0,0,0
332,이상훈,삼성,C,8,3,14,0,1,0
332,이상훈,삼성,C,D,0,0,0,0,0
333,이성규,삼성,C,4,1,3,0,0,0
333,이성규,삼성,C,5,3,10,0,1,0
333,이성규,삼성,C,D,0,0,0,0,0
334,이성민,롯데,C,1,36,68.667,2,0.889,0
334,이성민,롯데,C,D,0,0,0,0,0
335,이성열,한화,C,3,5,30.333,0,1,0
335,이성열,한화,B,9,21,104.333,0,1,0
335,이성열,한화,A,7,48,253.333,2,0.966,0
335,이성열,한화,C,8,1,2,0,0,0
335,이성열,한화,C,D,0,0,0,0,0
336,이성우,KIA,A,2,53,227,2,0.99,31.6
336,이성우,KIA,A,D,0,0,0,0,0
337,이승엽,삼성,C,3,4,36.333,0,1,0
337,이승엽,삼성,C,D,0,0,0,0,0
338,이승현,LG,C,1,38,41,0,1,0
338,이승현,LG,C,D,0,0,0,0,0
339,이양기,한화,C,9,1,1,0,0,0
339,이양기,한화,A,7,15,98,1,0.957,0
339,이양기,한화,C,D,0,0,0,0,0
340,이여상,롯데,C,3,3,5,0,1,0
340,이여상,롯데,A,4,26,84.667,1,0.98,0
340,이여상,롯데,C,5,7,30,2,0.6,0
340,이여상,롯데,C,6,25,91.333,2,0.961,0
340,이여상,롯데,C,D,0,0,0,0,0
341,이영욱,삼성,C,9,32,59.333,0,1,0
341,이영욱,삼성,C,7,30,51.333,0,1,0
341,이영욱,삼성,B,8,24,76,1,0.971,0
341,이영욱,삼성,C,D,0,0,0,0,0
342,이영재,LG,C,1,1,0,0,0,0
342,이영재,LG,C,D,0,0,0,0,0
343,이용규,한화,A,8,113,979.333,3,0.99,0
343,이용규,한화,A,D,0,0,0,0,0
344,이용찬,두산,C,1,5,6.667,0,1,0
344,이용찬,두산,C,D,0,0,0,0,0
345,이용호,두산,C,1,1,1.667,0,0,0
345,이용호,두산,C,D,0,0,0,0,0
346,이우민,롯데,C,9,6,20.333,0,1,0
346,이우민,롯데,C,7,3,4,0,1,0
346,이우민,롯데,A,8,34,195,0,1,0
346,이우민,롯데,C,D,0,0,0,0,0
347,이원석,두산,C,5,3,23.667,0,1,0
347,이원석,두산,C,6,3,20,2,0.857,0
347,이원석,두산,C,D,0,0,0,0,0
348,이재우,한화,C,1,15,25.333,0,1,0
348,이재우,한화,C,D,0,0,0,0,0
349,이재원,SK,A,2,116,896.333,8,0.99,34.5
349,이재원,SK,A,D,0,0,0,0,0
350,이재율,NC,C,7,1,2,0,0,0
350,이재율,NC,C,8,11,33,1,0.909,0
350,이재율,NC,C,D,0,0,0,0,0
351,이재학,NC,B,1,26,127.667,2,0.909,0
351,이재학,NC,B,D,0,0,0,0,0
352,이정담,SK,C,1,6,5.333,0,1,0
352,이정담,SK,C,D,0,0,0,0,0
353,이정민,롯데,C,1,66,77,0,1,0
353,이정민,롯데,C,D,0,0,0,0,0
354,이정식,삼성,C,2,7,30,1,0.941,40
354,이정식,삼성,C,D,0,0,0,0,0
355,이정훈,넥센,C,1,15,18,0,1,0
355,이정훈,넥센,C,D,0,0,0,0,0
356,이종욱,NC,A,7,66,434.333,1,0.99,0
356,이종욱,NC,A,8,65,496.667,1,0.991,0
356,이종욱,NC,A,D,0,0,0,0,0
357,이종환,한화,C,9,5,10,0,1,0
357,이종환,한화,C,7,1,1,0,0,0
357,이종환,한화,C,D,0,0,0,0,0
358,이준영,KIA,C,1,13,17.667,1,0.667,0
358,이준영,KIA,C,D,0,0,0,0,0
359,이준형,LG,C,1,25,71.333,3,0.85,0
359,이준형,LG,C,D,0,0,0,0,0
360,이지영,삼성,A,2,124,867,10,0.987,31.3
360,이지영,삼성,A,D,0,0,0,0,0
361,이진석,SK,C,9,20,44.667,0,1,0
361,이진석,SK,C,7,3,14,0,1,0
361,이진석,SK,C,8,18,58.667,0,1,0
361,이진영,KIA,B,9,13,69.333,1,0.933,0
361,이진영,KIA,C,7,2,6,0,1,0
361,이진영,KIA,C,8,2,2,0,1,0
361,이진석,SK,C,D,0,0,0,0,0
362,이진영,kt,B,9,16,100,0,1,0
362,이진영,kt,B,D,0,0,0,0,0
364,이창재,kt,C,1,47,40.333,0,1,0
364,이창재,kt,C,D,0,0,0,0,0
365,이천웅,LG,A,9,48,253.667,2,0.957,0
365,이천웅,LG,A,7,30,183.333,0,1,0
365,이천웅,LG,A,8,32,174.333,0,1,0
365,이태양,NC,C,1,10,47,0,1,0
365,이천웅,LG,A,D,0,0,0,0,0
366,이태양,한화,A,1,29,112.333,1,0.944,0
366,이태양,한화,A,D,0,0,0,0,0
368,이택근,넥센,A,9,79,571.333,0,1,0
368,이택근,넥센,A,7,18,116,1,0.96,0
368,이택근,넥센,A,D,0,0,0,0,0
369,이해창,kt,B,2,85,575.333,8,0.985,47
369,이해창,kt,B,D,0,0,0,0,0
370,이현석,SK,C,2,9,17.667,0,1,0
370,이현석,SK,C,D,0,0,0,0,0
371,이현승,두산,C,1,56,57.667,0,1,0
371,이현승,두산,C,D,0,0,0,0,0
372,이현호,두산,C,1,41,47,0,1,0
372,이현호,두산,C,D,0,0,0,0,0
373,이형종,LG,B,9,23,85.667,0,1,0
373,이형종,LG,A,7,32,161,0,1,0
373,이형종,LG,C,8,6,23.333,0,1,0
373,이형종,LG,B,D,0,0,0,0,0
374,이호신,KIA,B,9,44,126,0,1,0
374,이호신,KIA,C,7,2,4,0,1,0
374,이호신,KIA,C,8,2,7,0,1,0
374,이호신,KIA,B,D,0,0,0,0,0
375,이홍구,KIA,C,3,2,2,0,1,0
375,이홍구,KIA,A,2,92,532,5,0.989,15.2
375,이홍구,KIA,C,D,0,0,0,0,0
376,이흥련,삼성,B,2,82,381.333,5,0.985,20.5
376,이흥련,삼성,B,D,0,0,0,0,0
377,임기준,KIA,C,1,19,31.333,3,0.727,0
377,임기준,KIA,C,D,0,0,0,0,0
378,임대한,삼성,C,1,26,28,0,1,0
378,임대한,삼성,C,D,0,0,0,0,0
379,임병욱,넥센,C,9,1,3,0,1,0
379,임병욱,넥센,A,8,101,638.667,3,0.986,0
379,임병욱,넥센,C,D,0,0,0,0,0
380,임서준,NC,C,1,2,6.333,0,0,0
380,임서준,NC,C,D,0,0,0,0,0
381,임석진,SK,C,3,3,6,0,1,0
381,임석진,SK,C,D,0,0,0,0,0
382,임익준,한화,C,6,2,6,0,1,0
382,임익준,한화,C,D,0,0,0,0,0
383,임정우,LG,B,1,67,70.667,1,0.857,0
383,임정우,LG,B,D,0,0,0,0,0
384,임정호,NC,C,1,42,23.333,1,0.75,0
384,임정호,NC,C,D,0,0,0,0,0
385,임준혁,SK,C,1,12,34,1,0.857,0
385,임준혁,SK,C,D,0,0,0,0,0
386,임찬규,LG,C,1,15,47,0,1,0
386,임찬규,LG,C,D,0,0,0,0,0
387,임창민,NC,C,1,65,70,0,1,0
387,임창민,NC,C,D,0,0,0,0,0
388,임창용,KIA,C,1,34,35,1,0.75,0
388,임창용,KIA,C,D,0,0,0,0,0
389,임현준,삼성,C,1,2,1,0,1,0
389,임현준,삼성,C,D,0,0,0,0,0
390,임훈,LG,B,9,30,96,0,1,0
390,임훈,LG,C,7,1,2,0,0,0
390,임훈,LG,A,8,45,288,0,1,0
390,임훈,LG,B,D,0,0,0,0,0
391,장민석,한화,B,9,18,83.667,0,1,0
391,장민석,한화,A,7,57,266.667,2,0.957,0
391,장민석,한화,A,8,31,167,1,0.975,0
391,장민석,한화,B,D,0,0,0,0,0
392,장민재,한화,C,1,48,119.333,4,0.81,0
392,장민재,한화,C,D,0,0,0,0,0
393,장시윤,넥센,C,4,4,17,1,0.9,0
393,장시윤,넥센,C,5,4,14,2,0.778,0
393,장시윤,넥센,C,D,0,0,0,0,0
394,장시환,kt,C,1,40,75.333,0,1,0
394,장시환,kt,C,D,0,0,0,0,0
395,장영석,넥센,C,3,9,37,2,0.947,0
395,장영석,넥센,C,5,7,20,1,0.857,0
395,장영석,넥센,C,D,0,0,0,0,0
396,장운호,한화,C,9,6,17,0,1,0
396,장운호,한화,B,7,31,124.667,0,1,0
396,장운호,한화,C,8,14,74.333,0,1,0
396,장운호,한화,C,D,0,0,0,0,0
397,장원삼,삼성,C,1,26,78.333,0,1,0
397,장원삼,삼성,C,D,0,0,0,0,0
398,장원준,두산,A,1,27,168,1,0.958,0
398,장원준,두산,A,D,0,0,0,0,0
399,장준원,LG,C,6,13,36.667,0,1,0
399,장준원,LG,C,D,0,0,0,0,0
400,장진용,LG,C,1,2,5.333,0,0,0
400,장진용,LG,C,D,0,0,0,0,0
401,장필준,삼성,C,1,56,72,0,1,0
401,장필준,삼성,C,D,0,0,0,0,0
402,장현식,NC,B,1,37,76.333,1,0.875,0
402,장현식,NC,B,D,0,0,0,0,0
403,전민수,kt,A,9,36,247.333,0,1,0
403,전민수,kt,A,7,33,200.333,0,1,0
